,State,DC Fast Charge,Level 1,Level 2,EV Network
0,CA,2.0,,3.0,
1,CA,,1.0,2.0,
2,CA,,,161.0,
3,CA,,,4.0,
4,CA,,,2.0,ChargePoint Network
5,CA,,,4.0,
6,CA,,,14.0,ChargePoint Network
7,CA,,,2.0,
8,CA,,,2.0,
9,CA,,,2.0,
10,CA,,,2.0,
11,CA,,,6.0,
12,CA,,,8.0,
13,CA,,,2.0,
14,CA,,,3.0,
15,CA,,,2.0,
16,CA,,,,
17,CA,,,1.0,
18,CA,,4.0,,
19,CA,,,2.0,Tesla
20,CA,,,20.0,
21,CA,,,,
22,CA,,,7.0,
23,CA,,,1.0,
24,CA,,,2.0,
25,CA,,,1.0,
26,CA,,,2.0,
27,CA,,,6.0,ChargePoint Network
28,CA,,,2.0,
29,CA,,,4.0,
30,CA,,,3.0,
31,CA,,1.0,3.0,
32,CA,,,2.0,
33,CA,,,2.0,
34,CA,,1.0,,
35,CA,,,2.0,
36,CA,,,4.0,
37,CA,,,2.0,
38,CA,,,3.0,
39,CA,,,1.0,
40,CA,,,4.0,
41,CA,,,,
42,CA,,,,
43,CA,,,1.0,
44,CA,,,3.0,Tesla
45,CA,,,,
46,CA,,,2.0,
47,CA,,,3.0,
48,CA,,,1.0,
49,CA,,,2.0,
50,CA,,,2.0,
51,CA,,,4.0,
52,CA,,,4.0,
53,CA,,,2.0,
54,CA,,,16.0,
55,CA,,,3.0,
56,CA,,,2.0,
57,CA,,,1.0,ChargePoint Network
58,CA,,,2.0,
59,CA,,,6.0,
60,CA,12.0,,1.0,Tesla
61,CA,,2.0,2.0,ChargePoint Network
62,CA,,,5.0,
63,CA,,,,
64,CA,,,4.0,
65,CA,,4.0,2.0,
66,CA,,,1.0,
67,CA,,,2.0,
68,CA,,,6.0,Tesla
69,CA,,,1.0,
70,CA,,,2.0,
71,CA,,,2.0,
72,FL,2.0,,1.0,Greenlots
73,CA,,,1.0,
74,CA,,,3.0,
75,CA,,,3.0,
76,CA,,1.0,3.0,
77,CA,,1.0,1.0,
78,CA,,,5.0,
79,CA,,,2.0,
80,CA,,4.0,20.0,
81,CA,,1.0,2.0,
82,CA,,,1.0,
83,CA,,,2.0,
84,CA,,,2.0,
85,CA,,,1.0,
86,CA,,,3.0,
87,CA,,,3.0,Tesla
88,CA,,,1.0,
89,CA,,,1.0,
90,CA,,,3.0,
91,CA,,1.0,,
92,CA,,,2.0,
93,CA,,,2.0,
94,CA,,,1.0,
95,CA,,,1.0,
96,VT,,2.0,,
97,CA,,1.0,1.0,
98,CA,,,2.0,
99,CA,,,3.0,
100,CA,,,,
101,CA,,,10.0,
102,CA,,,2.0,
103,CA,1.0,,20.0,Greenlots
104,CA,,,2.0,ChargePoint Network
105,CA,,,12.0,ChargePoint Network
106,WA,,1.0,,
107,IL,,,2.0,
108,OR,,,2.0,Tesla
109,OR,,2.0,1.0,
110,OR,,1.0,1.0,
111,CA,,1.0,,
112,CA,,,1.0,Greenlots
113,CA,,,1.0,
114,CA,,1.0,1.0,
115,CA,,,3.0,
116,CA,,,1.0,
117,CA,,,2.0,
118,CA,,2.0,4.0,
119,CA,,,1.0,
120,CA,,,2.0,
121,CA,,,,
122,CA,,,2.0,
123,CA,,,2.0,SemaCharge Network
124,CA,,,2.0,
125,CA,,,1.0,
126,CA,,,2.0,
127,CA,,,2.0,ChargePoint Network
128,CA,,,2.0,
129,WA,,36.0,,
130,CA,,,20.0,ChargePoint Network
131,IL,,,4.0,
132,ID,,,2.0,
133,TX,,2.0,,
134,OR,,4.0,,
135,NC,,,2.0,
136,OR,,4.0,,
137,OR,,,2.0,Tesla
138,CA,,,2.0,ChargePoint Network
139,CA,,,,
140,CA,,1.0,1.0,ChargePoint Network
141,FL,,1.0,,ChargePoint Network
142,NC,,1.0,1.0,ChargePoint Network
143,TN,,2.0,8.0,ChargePoint Network
144,VA,,4.0,,
145,OR,,1.0,3.0,ChargePoint Network
146,IA,,2.0,2.0,ChargePoint Network
147,FL,1.0,1.0,2.0,ChargePoint Network
148,WI,,,2.0,ChargePoint Network
149,WA,,2.0,,
150,CA,,,1.0,
151,HI,,,,
152,MI,,2.0,2.0,ChargePoint Network
153,OR,,,6.0,ChargePoint Network
154,OR,,1.0,1.0,ChargePoint Network
155,TX,,5.0,,ChargePoint Network
156,TX,,1.0,,ChargePoint Network
157,CA,,,2.0,
158,CA,,,4.0,
159,WA,,1.0,2.0,
160,WA,,,1.0,
161,OR,,1.0,,
162,IA,,,1.0,
163,IA,,,1.0,
164,MN,,1.0,,
165,CA,,,1.0,
166,FL,,1.0,1.0,ChargePoint Network
167,FL,,,1.0,ChargePoint Network
168,TX,,1.0,1.0,ChargePoint Network
169,AZ,,1.0,1.0,ChargePoint Network
170,CA,,,6.0,ChargePoint Network
